freq,indic_de,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MEDAGEPOP,AD	38.0 	38.6 	38.2 	37.9 	37.7 	38.0 	38.4 	38.8 	39.5 	39.6 	39.6 	39.9 	: 	: 	: 	: 	: 	42.6 	: 	: 	: 	: 
A,MEDAGEPOP,AL	27.6 	27.9 	28.2 	28.7 	29.2 	29.8 	30.4 	31.1 	31.9 	32.6 	33.2 	33.7 	34.2 	34.7 	35.2 	35.6 	36.1 	36.7 	37.2 	37.6 	38.2 	38.8 
A,MEDAGEPOP,AM	: 	: 	: 	: 	31.5 	31.8 	32.0 	32.3 	32.6 	: 	: 	: 	: 	34.0 	34.3 	34.6 	35.0 	35.4 	35.8 	36.1 	: 	: 
A,MEDAGEPOP,AT	38.8 	39.1 	39.4 	39.7 	40.1 	40.5 	40.9 	41.2 	41.6 	42.0 	42.4 	42.6 	42.9 	43.0 	43.0 	43.0 	43.2 	43.4 	43.5 	43.6 	43.6 	43.5 
A,MEDAGEPOP,AZ	: 	: 	: 	: 	27.9 	28.2 	28.5 	28.8 	28.8 	29.1 	29.4 	29.7 	30.1 	30.5 	30.9 	31.3 	31.8 	32.3 	32.8 	33.2 	33.8 	: 
A,MEDAGEPOP,BE	39.3 	39.6 	39.8 	40.1 	40.3 	40.5 	40.7 	40.8 	40.9 	40.9 b	41.0 	41.1 	41.3 	41.4 	41.4 	41.5 	41.6 	41.7 	41.8 	41.8 	41.9 	41.9 
A,MEDAGEPOP,BG	40.3 	40.6 	40.9 	41.2 	41.5 	41.7 	41.9 	42.0 	42.2 	42.5 	42.7 	42.9 	43.2 	43.4 	43.6 	43.9 	44.1 	44.5 	44.8 	45.0 	45.1 	46.8 b
A,MEDAGEPOP,BY	: 	: 	: 	: 	37.8 	38.0 	38.1 	38.3 	: 	39.0 	39.1 	39.2 	39.4 	39.5 	39.6 	39.7 	39.9 	40.1 	: 	: 	: 	: 
A,MEDAGEPOP,CH	39.1 	39.4 	39.8 	40.1 	40.4 	40.8 	41.0 	41.2 	41.5 	41.6 b	41.8 	42.0 	42.1 	42.2 	42.3 	42.3 	42.4 	42.5 	42.6 	42.7 	42.8 	42.8 
A,MEDAGEPOP,CY	34.2 	34.5 	34.7 	34.9 	35.1 	35.2 	35.4 	35.5 	35.6 	35.7 	35.8 	36.2 	36.8 	37.0 	37.2 	37.4 	37.5 	37.7 	37.7 	38.0 	38.3 	38.4 
A,MEDAGEPOP,CZ	37.9 	38.3 	38.6 	38.8 	39.0 	39.2 	39.3 	39.4 	39.6 	39.8 	40.1 	40.4 	40.8 	41.1 	41.5 	41.9 	42.3 	42.6 	43.0 	43.6 	43.8 	43.7 
A,MEDAGEPOP,DE	40.6 	40.9 	41.4 	41.8 	42.3 	42.8 	43.2 	43.7 	44.2 	44.7 b	45.0 	45.4 	45.6 b	45.9 	45.8 	45.9 	46.0 	46.0 	45.9 	45.9 	45.8 	45.4 
A,MEDAGEPOP,DK	38.6 	38.8 	39.1 	39.4 	39.7 	40.0 	40.2 	40.3 	40.5 	40.6 	40.8 	41.0 	41.3 	41.5 	41.5 	41.6 	41.8 	41.9 	42.1 	42.2 	42.3 	42.2 
A,MEDAGEPOP,EE	38.5 	38.7 	39.0 	39.2 	39.4 	39.6 	39.8 	39.9 	40.1 	40.4 	40.7 	41.0 	41.3 	41.4 b	41.6 	41.8 	42.0 	42.1 	42.3 	42.5 	42.6 	42.3 
A,MEDAGEPOP,EL	38.3 	38.6 	38.9 	39.2 	39.5 	39.9 	40.3 	40.7 	41.1 	41.5 	42.0 	42.5 	42.9 	43.4 	43.9 	44.2 	44.6 	44.9 	45.2 	45.5 	46.1 b	46.5 
A,MEDAGEPOP,ES	37.9 	38.1 	38.3 	38.6 	38.8 	39.0 	39.2 	39.4 	39.9 	40.3 	40.8 	41.3 	41.8 	42.3 	42.8 	43.2 	43.6 	44.0 	44.3 	44.7 	45.1 	45.3 
A,MEDAGEPOP,EU27_2020	38.7 	39.0 	39.3 	39.6 	40.0 	40.3 	40.6 b	41.0 	41.3 b	41.6 b	41.9 b	42.2 	42.5 b	42.7 b	43.0 	43.2 b	43.4 p	43.7 bep	43.9 ep	44.1 	44.4 bep	44.5 
A,MEDAGEPOP,FI	39.8 	40.1 	40.5 	40.8 	41.1 	41.3 	41.5 	41.8 	42.0 	42.1 	42.2 	42.3 	42.4 	42.4 	42.5 	42.5 	42.7 	42.9 	43.1 	43.3 	43.4 	43.5 
A,MEDAGEPOP,FR	37.9 	38.1 	38.4 	38.6 	38.9 	39.1 	39.3 	39.6 	39.8 	40.0 	40.3 b	40.6 	40.7 b	41.0 	41.2 	41.4 	41.6 p	41.8 p	41.9 p	42.1 	42.2 p	42.4 
A,MEDAGEPOP,GE	: 	: 	: 	: 	35.5 	35.8 	36.1 	36.4 	36.6 	36.7 	36.9 	: 	37.5 	37.4 	37.7 	37.8 	37.7 	37.9 	38.0 	38.1 	38.2 	38.1 
A,MEDAGEPOP,HR	40.1 	40.4 	40.6 	40.8 	41.0 	41.3 	41.5 	41.7 	41.9 	42.1 	42.2 	42.4 	42.6 	42.8 	43.0 	43.4 	43.7 	44.0 	44.2 	44.4 	45.4 b	45.4 
A,MEDAGEPOP,HU	38.7 	38.8 	38.8 	38.9 	39.0 	39.2 	39.4 	39.6 	39.8 	40.1 	40.8 b	41.1 	41.3 	41.6 	41.9 	42.3 	42.6 	43.0 	43.3 	43.6 	43.9 	44.2 b
A,MEDAGEPOP,IE	32.8 	33.0 	33.3 	33.5 	33.5 	33.3 	33.4 	33.6 	34.0 	34.5 	35.0 	35.4 	35.8 	36.2 	36.5 	36.9 	37.3 	37.7 	38.1 	38.5 	38.8 	39.1 
A,MEDAGEPOP,IS	33.2 	33.5 	33.8 	34.1 	34.3 	34.6 	34.6 	34.5 	34.8 	35.0 	35.3 	35.5 	35.6 	35.8 	36.1 	36.3 	36.3 	36.4 	36.5 	36.7 	36.7 	36.7 
A,MEDAGEPOP,IT	40.7 	41.1 	41.3 	41.6 	42.0 	42.4 	42.7 	43.0 	43.3 	43.7 	44.0 	44.4 	44.7 	45.1 	45.5 	45.9 	46.3 	46.8 b	47.2 	47.6 	48.0 	48.4 
A,MEDAGEPOP,LI	36.9 	37.4 	37.8 	38.3 	38.7 	39.2 	39.7 	40.3 	40.8 	41.2 	41.6 	42.1 	42.5 	42.9 	43.3 	43.6 	44.0 	44.2 	44.4 	44.6 	44.8 	45.0 
A,MEDAGEPOP,LT	36.7 	37.2 	37.7 	38.2 	38.8 	39.2 	39.6 	39.9 	40.3 	41.1 	41.7 	42.1 	42.4 	42.7 	43.1 	43.4 	43.9 	44.1 	44.2 	44.1 	44.5 	44.2 
A,MEDAGEPOP,LU	37.4 	37.7 	37.9 	38.1 	38.3 	38.5 	38.6 	38.7 	38.9 	39.0 	39.1 b	39.1 	39.2 	39.3 	39.3 	39.4 b	39.4 	39.5 	39.5 	39.6 	39.7 	39.7 
A,MEDAGEPOP,LV	38.5 	38.8 	39.0 	39.3 	39.5 	39.8 	39.9 	40.2 	40.8 	41.4 	41.8 	42.1 	42.4 	42.7 	42.9 	43.1 	43.3 	43.5 	43.7 	43.9 	44.0 	43.9 
A,MEDAGEPOP,MD	: 	: 	: 	: 	32.3 	33.2 	33.5 	33.7 	33.9 	34.2 	34.5 	34.8 	35.1 	35.5 	: 	36.2 	: 	: 	: 	39.2 	: 	40.3 
A,MEDAGEPOP,ME	34.9 	34.9 	34.9 	35.1 	35.4 	35.6 	35.9 	36.1 	36.3 	36.6 	36.9 	37.1 	37.4 	37.7 	38.0 	38.2 	38.5 	38.7 	39.0 	39.3 	39.4 	: 
A,MEDAGEPOP,MK	32.9 	33.5 	33.9 	34.2 	34.5 	34.9 	35.2 	35.5 	35.8 	36.1 	36.4 	36.7 	37.1 	37.4 	37.7 	38.0 	38.4 	38.8 	39.2 	39.5 	41.1 b	41.5 
A,MEDAGEPOP,MT	37.0 	37.4 	37.7 	38.0 	38.6 	39.0 	39.3 	39.5 	39.7 	40.1 	40.4 	40.5 	40.6 	40.5 	40.5 	40.6 	40.4 	40.0 	39.8 	40.1 	40.4 p	40.1 
A,MEDAGEPOP,NL	37.8 	38.2 	38.5 	38.9 	39.2 	39.6 	40.0 	40.3 	40.6 	41.0 	41.3 	41.6 	42.0 	42.2 	42.4 	42.5 	42.6 	42.7 	42.7 	42.7 	42.7 	42.5 
A,MEDAGEPOP,NO	37.1 	37.3 	37.5 	37.8 	38.0 	38.2 	38.4 	38.5 	38.6 	: 	: 	: 	39.0 	: 	39.2 	39.3 	39.5 	39.7 	39.9 	: 	40.4 	40.5 
A,MEDAGEPOP,PL	35.7 	35.9 	36.2 	36.5 	36.7 	37.0 	37.3 	37.5 	37.9 b	38.2 	38.5 	38.8 	39.2 	39.6 	39.9 	40.3 	40.6 	41.0 	41.3 	41.6 	42.0 	42.6 b
A,MEDAGEPOP,PT	38.2 	38.5 	38.8 	39.2 	39.6 	40.0 	40.4 	40.8 	41.2 	41.7 	42.1 	42.6 	43.1 	43.5 	44.0 	44.4 	44.8 	45.2 	45.5 	45.8 	46.8 bp	47.0 
A,MEDAGEPOP,RO	35.0 	35.3 	35.4 	35.5 	37.2 	37.3 	38.7 	40.1 	40.1 	40.1 	40.2 	40.5 	40.8 e	41.0 	41.4 	41.8 	42.1 	42.5 	42.8 e	43.0 	43.5 e	43.6 
A,MEDAGEPOP,RS	40.5 	40.6 	40.8 	40.8 	40.9 	41.0 	41.1 	41.3 	41.4 	42.5 b	42.6 	42.7 	42.9 	43.0 	43.2 	43.3 	43.5 	43.7 	43.9 	44.0 	44.1 	45.0 b
A,MEDAGEPOP,RU	: 	: 	: 	: 	37.4 	37.5 	37.6 	37.7 	37.8 	38.0 	: 	: 	38.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MEDAGEPOP,SE	39.6 	39.7 	39.9 	40.1 	40.3 	40.5 	40.6 	40.7 	40.7 	40.8 	40.8 	40.9 	40.9 	40.9 	40.9 	40.8 	40.6 	40.5 	40.5 	40.6 	40.7 	40.8 
A,MEDAGEPOP,SI	38.6 	39.0 	39.4 	39.9 	40.2 	40.6 	41.0 b	41.2 	41.4 	41.7 	42.0 	42.2 	42.5 	42.8 	43.2 	43.5 	43.8 	44.0 	44.1 	44.4 	44.7 	44.9 
A,MEDAGEPOP,SK	34.4 	34.7 	35.0 	35.4 	35.7 	36.0 	36.3 	36.6 	37.0 	37.4 	37.7 	38.2 	38.6 	39.0 	39.4 	39.8 	40.2 	40.6 	41.0 	41.4 	41.8 	42.2 
A,MEDAGEPOP,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.1 	43.5 	: 	: 	: 	: 	45.6 	: 	: 	: 	: 	: 
A,MEDAGEPOP,TR	26.1 	26.4 	26.8 	27.2 	27.6 	28.0 	28.2 	28.5 	28.8 	29.3 	29.7 	30.1 	30.4 	30.7 	31.1 	31.4 	31.7 	32.0 	32.4 	32.8 	: 	33.5 
A,MEDAGEPOP,UA	: 	: 	: 	: 	39.0 	39.0 	39.1 	39.2 	39.3 	39.4 	39.6 	39.7 	39.8 	40.0 	40.2 	40.5 	40.8 	41.1 	41.4 	41.7 	42.0 	: 
A,MEDAGEPOP,UK	38.0 	38.2 	38.5 	38.6 	38.8 	38.9 	39.1 	39.2 	39.4 	39.5 	39.7 	39.8 	39.9 	40.0 	40.0 	40.0 	40.1 	40.2 	: 	: 	: 	: 
A,MEDAGEPOP,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.1 	29.1 	29.1 	29.9 	30.4 	30.6 	31.1 	: 
